"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\numbers.vue", "vue", 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\person.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 1, 2, 61
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\shallow.vue", "vue", 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\status.vue", "vue", 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\text.vue", "vue", 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-columns\timeline.vue", "vue", 0, 0, 0, 0, 70, 0, 0, 1, 2, 73
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-list.vue", "vue", 0, 0, 0, 0, 130, 0, 0, 0, 6, 136
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-nav.vue", "vue", 0, 0, 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-preview.vue", "vue", 0, 0, 0, 0, 146, 0, 0, 0, 4, 150
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\task-summary.vue", "vue", 0, 0, 0, 0, 136, 0, 0, 0, 7, 143
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\triangle-modal-cmps\date-modal.vue", "vue", 0, 0, 0, 0, 152, 0, 0, 0, 10, 162
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\triangle-modal-cmps\link-modal.vue", "vue", 0, 0, 0, 0, 45, 0, 0, 0, 2, 47
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\triangle-modal-cmps\persons-modal.vue", "vue", 0, 0, 0, 0, 67, 0, 0, 0, 1, 68
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\triangle-modal-cmps\task-label-modal.vue", "vue", 0, 0, 0, 0, 51, 0, 0, 1, 2, 54
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\triangle-modal-cmps\timeline-modal-old.vue", "vue", 0, 0, 0, 0, 125, 0, 0, 0, 5, 130
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\triangle-modal-cmps\timeline-modal.vue", "vue", 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\cmps\user-msg.vue", "vue", 0, 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\data\_board_DB.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\data\color-picker.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\data\pics.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\directives\index.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 1, 15, 132
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\main.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 1, 9, 31
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\router.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 1, 6, 51
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\async-storage.service.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 1, 8, 64
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\board.service.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 6, 17, 65
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\board.service.local.js", "JavaScript", 0, 0, 897, 0, 0, 0, 0, 1, 26, 924
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\event-bus.service.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\group.service.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 0, 11, 145
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\http.service.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 5, 5, 50
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\img-service.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\img-upload.service.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 3, 3, 21
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\socket.service.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 12, 13, 112
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\storage-service.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\task.service.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 14, 14, 86
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\user.service.js", "JavaScript", 0, 0, 112, 0, 0, 0, 0, 17, 23, 152
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\services\util.service.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 7, 24, 139
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\store\board.store.js", "JavaScript", 0, 0, 193, 0, 0, 0, 0, 1, 8, 202
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\store\group.store.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 1, 1, 62
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\store\store.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\store\task.store.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\store\user.store.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 4, 6, 120
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\board-app.vue", "vue", 0, 0, 0, 0, 140, 0, 0, 0, 5, 145
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\board-home.vue", "vue", 0, 0, 0, 0, 72, 0, 0, 0, 9, 81
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\chat.vue", "vue", 0, 0, 0, 0, 65, 0, 0, 0, 3, 68
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\home.vue", "vue", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\login-signup.vue", "vue", 0, 0, 0, 0, 109, 0, 0, 7, 6, 122
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\review-app.vue", "vue", 0, 0, 0, 0, 70, 0, 0, 1, 4, 75
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\task-details.vue", "vue", 0, 0, 0, 0, 203, 0, 0, 9, 32, 244
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\src\views\user-details.vue", "vue", 0, 0, 0, 0, 51, 0, 0, 0, 3, 54
"c:\Users\User\Desktop\Tomer\Programming\Tomer Vardi\someday\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 2, 1964, 2321, 13, 3055, 2356, 2, 216, 911, 10840
